Timestamp,Date,Game,Players,Winner,Duration (minutes),Score
8/31/2015 22:09:46,8/31/2015,Ticket to Ride,"Brian,Carol,Johnny,Melissa,Melody",Brian,125,123
9/1/2015 20:50:34,9/1/2015,Doodle Quest,"Carol,Johnny,Melissa",Carol,30,53
9/1/2015 22:26:16,9/1/2015,Dixit,"Brian,Carol,Johnny,Melissa",Brian,62,31
9/2/2015 20:57:12,9/2/2015,Tumblin' Dice,"Brian,Melissa,Melody,Micah",Micah,11,124
9/2/2015 21:27:22,9/2/2015,Tumblin' Dice,"Brian,Carol,Johnny,Melissa,Melody,Micah",Brian,18,164
9/5/2015 9:47:03,9/5/2015,Pandemic,"Brian/Melissa,Carol,Johnny,Melody",Nobody,94,3 cured 
9/5/2015 18:54:38,9/5/2015,Trains,"Brian,Carol,Luke,Zach",Zach,102,42
9/5/2015 22:17:18,9/5/2015,Splendor,"Brian,Luke,Zach",Luke,39,16
9/5/2015 22:25:33,9/5/2015,Fluxx,"Brian,Luke,Zach",Brian,10,
9/11/2015 21:25:20,9/11/2015,"But Wait, There's More!","Brian,Carol,Dale,Johnny,Melissa",Dale,24,25
9/11/2015 22:29:58,9/11/2015,Balderdash,"Brian,Carol,Dale,Johnny,Melissa",Dale,48,9
9/11/2015 22:29:58,9/24/2015,Agricola,"Brian,Melissa",Brian,123,52
9/11/2015 22:29:58,10/5/2015,Jaipur,"Brian,Melissa",Melissa,42,"75,77,73"
9/11/2015 22:29:58,10/8/2015,Splendor,"Brian,Carol,Johnny,Melissa",Brian,46,15
9/11/2015 22:29:58,10/10/2015,Baseball Highlights: 2045,"Brian,Megan",,38,
9/11/2015 22:29:58,10/14/2015,Castles of Mad King Ludwig ,"Brian,Melissa",Brian,74,62
9/11/2015 22:29:58,10/16/2015,Pandemic,"Brian,Clint,Melissa,Micah",Nobody,59,1 cured
9/11/2015 22:29:58,10/16/2015,Pandemic,"Brian,Clint,Melissa,Micah","Brian,Clint,Melissa,Micah",67,"4 cured, 1 eradicated"
9/11/2015 22:29:58,10/19/2015,Mottainai,"Brian,Melissa",Brian,75,
9/11/2015 22:29:58,10/22/2015,Pandemic Legacy,"Brian,Clint,Greg,Jay,Melissa",Nobody,81,
9/11/2015 22:29:58,10/22/2015,Pandemic Legacy,"Brian,Clint,Greg,Jay,Melissa",Nobody,70,
9/11/2015 22:29:58,10/27/2015,Cosmic Encounter,"Brian,Charity,Judy,Justin,Melissa,Shane","Justin,Shane",96,
9/11/2015 22:29:58,10/29/2015,Pandemic Legacy,"Brian,Clint,Greg,Jay,Melissa","Brian,Clint,Greg,Jay,Melissa",86,
9/11/2015 22:29:58,10/29/2015,Pandemic Legacy,"Brian,Clint,Greg,Jay,Melissa","Brian,Clint,Greg,Jay,Melissa",103,
9/11/2015 22:29:58,10/31/2015,Castles of Mad King Ludwig ,"Brian,Britney,Melissa,Scott",Brian,140,
9/11/2015 22:29:58,11/5/2015,Pandemic Legacy,"Brian,Clint,Greg,Jay,Melissa","Brian,Clint,Greg,Jay,Melissa",119,
9/11/2015 22:29:58,11/5/2015,Pandemic Legacy,"Brian,Clint,Greg,Jay,Melissa","Brian,Clint,Greg,Jay,Melissa",103,
9/11/2015 22:29:58,11/7/2015,Mottainai,"Brian,Melissa",Brian,64,25
9/11/2015 22:29:58,11/19/2015,Pandemic Legacy,"Brian,Clint,Greg,Jay,Melissa","Brian,Clint,Greg,Jay,Melissa",118,
9/11/2015 22:29:58,11/22/2015,Tumblin' Dice,"Aaron,Brian,Catherine,Charity,Judy,Justin,Micah,Rachel,Shane",Judy,40,124
9/11/2015 22:29:58,11/22/2015,Balderdash,"Aaron,Brian,Charity,Judy,Justin,Melissa,Micah,Rachel",,65,
9/11/2015 22:29:58,11/26/2015,Monopoly Deal,"Brian,Luke,Megan,Melissa,Zach",Luke,12,
9/11/2015 22:29:58,11/26/2015,Monopoly Deal,"Brian,Luke,Megan,Sue,Zach",Brian,25,
9/11/2015 22:29:58,11/26/2015,Monopoly Deal,"Brian,Luke,Megan,Sue,Zach",Brian,19,
9/11/2015 22:29:58,11/27/2015,XenoShyft Onslaught,"Brian,Luke,Zach",Nobody,155,
9/11/2015 22:29:58,11/27/2015,Dice Masters,"Brian,Zach",Zach,22,
9/11/2015 22:29:58,11/27/2015,Volt: Robot Battle Arena,"Brian,Luke,Zach",Luke,47,3
9/11/2015 22:29:58,11/27/2015,Seasons,"Brian,Luke,Zach",Brian,,
9/11/2015 22:29:58,11/27/2015,Gravwell,"Brian,Luke,Zach",Zach,25,
9/11/2015 22:29:58,11/28/2015,Splendor,"Brian,Luke,Zach",Zach,36,
9/11/2015 22:29:58,11/28/2015,Sheriff of Nottingham,"Brian,Luke,Zach",Zach,84,156
9/11/2015 22:29:58,11/29/2015,Splendor,"Brian,Luke,Zach",Luke,15,
9/11/2015 22:29:58,11/29/2015,Tumblin' Dice,"Brian,Luke,Zach",Luke,10,106
9/11/2015 22:29:58,11/29/2015,Tumblin' Dice,"Brian,Luke,Zach",Brian,32,
9/11/2015 22:29:58,11/29/2015,Tumblin' Dice,"Brian,Luke,Zach",Luke,9,
9/11/2015 22:29:58,11/29/2015,For Sale,"Brian,Luke,Melissa,Zach",Brian,13,62000
9/11/2015 22:29:58,12/3/2015,Castles of Mad King Ludwig ,"Brian,Greg,Jay,Melissa",Greg,118,124
9/11/2015 22:29:58,12/4/2015,Smash Up,"Brian,Melissa",Melissa,56,15
9/11/2015 22:29:58,12/5/2015,T.I.M.E. Stories,"Brian,Melissa",,79,
9/11/2015 22:29:58,12/6/2015,T.I.M.E. Stories,"Brian,Melissa",,14,
9/11/2015 22:29:58,12/8/2015,T.I.M.E. Stories,"Brian,Melissa",,44,
9/11/2015 22:29:58,12/10/2015,Alchemists,"Brian,Greg,Jay,Melissa",Jay,176,35
9/11/2015 22:29:58,12/11/2015,Farkle,"Aaron,Brian,Catherine,Charity,Judy,Justin,Micah,Rachel",,120,
9/11/2015 22:29:58,12/12/2015,Smash Up,"Brian,Justin,Micah",Micah,94,15
9/11/2015 22:29:58,12/12/2015,DungeonQuest,"Brian,Justin,Micah",Micah,114,4000
